,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,rss,pkg_pwr,ram_pwr,power
0,984,2290,0,0,0,0,346178,78460,346196,21730,132.16,15.85,192.2
1,994,2262,0,0,0,0,361808,84102,361790,21730,127.42,15.31,192.6
2,5896,298580,8870,60780,0,0,7215774094,16077311604,7234911704,21730,131.27,15.66,201.8
3,19390,642358,29406,126940,0,0,9578234538,21101812368,9582863962,21730,134.23,15.78,201.2
4,15434,397164,12366,77752,0,0,6880842660,15228091588,6879627244,21730,128.66,15.57,209.5
5,232,518,0,0,0,0,83570,13498,83536,21730,131.1,15.54,199.4
6,1728,3692,0,0,0,0,602618,144734,602738,21730,128.55,15.52,199.7
7,17416,390552,10618,68628,0,0,7677070118,16812913608,7677226530,79861,136.23,16.06,199.7
8,1632,3872,0,0,0,0,626174,146932,626244,79861,134.73,15.92,200.0
9,14328,392732,20818,78902,0,0,9620925346,21183905090,9620467624,79861,131.23,15.76,210.2
10,202,404,0,0,0,0,61084,11110,61088,79861,130.11,15.45,201.0
11,1776,4048,0,0,0,0,662162,157446,662216,79861,125.65,15.3,201.1
12,9872,314940,15110,67166,0,0,6954059016,15354703256,6952954494,79861,148.09,16.19,200.8
13,16896,437412,25010,114388,0,0,8360012470,18790114554,8385662908,79861,178.7,17.17,200.4
14,32370,725480,37704,165630,0,0,9073552938,20035047568,9086038148,79861,176.9,16.79,268.6
15,194,420,0,0,0,0,60952,11110,60950,243837,178.86,16.93,259.9
16,1652,3964,0,0,0,0,627408,146462,627486,243837,178.13,17.04,260.1
17,16984,485334,17652,97858,0,0,8685281692,19386139612,8704165734,329276,177.1,17.03,260.5
18,988,2204,0,0,0,0,351150,83996,351164,329276,178.49,17.07,260.5
19,12010,295076,7172,67244,0,0,8805966670,20572630140,8812840104,329276,178.25,17.1,260.6
20,966,2356,0,0,0,0,357114,79650,357144,434517,176.26,17.03,260.9
21,974,2150,0,0,0,0,351096,84040,351164,434517,178.44,17.11,260.8
22,12676,386798,12832,61202,0,0,8781718740,18835360982,8795086754,529241,178.32,17.1,260.9
23,11074,178644,17678,54520,0,0,6687938746,11658775410,6686946088,529241,176.84,16.95,261.1
24,18114,411626,24712,97114,0,0,9693239768,21284467330,9722577282,529241,177.6,17.09,261.0
25,986,2190,0,0,112,57344,328082,77968,328210,636858,178.45,17.2,261.0
26,984,2300,0,0,16,8192,331926,78380,331890,636858,176.34,17.01,261.1
27,10226,348260,12646,76860,0,0,6627069246,14727599200,6620454328,718957,177.8,16.91,261.1
28,1778,3960,0,0,0,0,618194,153796,620172,718957,178.12,16.92,261.0
29,18768,387466,22826,75012,0,0,7781074310,17544192138,7777094306,718957,176.4,17.11,261.2
30,960,2016,0,0,48,24576,260800,78550,316480,803763,178.21,17.07,261.1
31,982,2158,0,0,32,16384,251574,78350,316710,803763,178.35,17.11,261.1
32,8126,271102,8938,51484,0,0,7135001098,15701200192,7151180940,887813,177.32,16.93,261.3
33,842,2068,0,0,0,0,253116,78398,314272,887813,177.67,17.15,261.4
34,5780,408084,6830,58462,0,0,7002250190,15596721278,6998868906,887813,178.01,17.1,261.2
35,1772,4298,0,0,0,0,573132,145160,635996,988915,176.56,16.93,261.5
36,994,2404,0,0,2272,1163264,273518,79488,331154,988915,177.3,17.03,261.3
37,13056,473928,22714,87646,0,0,6222252400,13900178302,6244572766,1053773,178.46,17.14,261.2
38,14250,29236,0,0,0,0,500724,3729300,6447774,1053773,177.39,16.88,261.3
39,7036,37088,10172,18422,0,0,8110654306,21541364764,8112100818,1053773,177.91,16.97,261.4
40,4470,10548,0,0,0,0,298988,528420,1319740,1140172,178.51,17.07,261.3
41,820,4054,0,0,4240,2170880,300206,167710,300196,1140172,176.97,16.97,261.5
42,10796,50844,12226,19252,0,0,10172310576,26854001534,10174038890,1203072,177.65,17.04,261.5
43,6248,13664,0,0,0,0,197502,65346,197570,1203072,178.31,17.06,261.5
44,10028,51082,12780,21222,0,0,10181672268,27056285602,10182603680,1203072,177.66,16.81,261.5
45,3958,9652,0,0,0,0,249338,96584,249366,1203072,177.68,17.06,261.6
46,4440,6954,0,0,1600,819200,219044,96492,219098,1203072,178.55,16.98,261.5
47,4414,7038,0,0,0,0,194734,65300,194764,1220862,176.92,16.98,261.6
48,0,0,0,0,0,0,0,0,0,1220862,177.9,17.01,261.7
