,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
46,38550487266924,398648219269967,8631536154120,51878978250404,0,0,74028673931136602,51735830071770480,74485426446556508,347,194.37,18.35,282.7
47,40216934843304,415880851226882,9004657313520,54121585379384,39131226,20035187712,77228760700494092,53972249239138080,77705257560960968,362,193.03,18.33,283.2
48,40216934843304,415880851226882,9004657313520,54121585379384,0,0,77228760700494092,53972249239138080,77705257560960968,362,188.18,17.9,282.9
49,40105838338212,414732009096421,8979782569560,53972078237452,0,0,77015421582536926,53823154627980240,77490602153334004,361,190.7,18.53,283.3
50,40105838338212,414732009096421,8979782569560,53972078237452,0,0,77015421582536926,53823154627980240,77490602153334004,361,187.06,18.46,283.1
51,40439127853488,418178535487804,9054406801440,54420599663248,0,0,77655438936408424,54270438461453760,78134568376214896,364,187.94,18.34,277.4
52,39772548822936,411285482705038,8905158337680,53523556811656,26087484,13356791808,76375404228665428,53375870794506720,76846635930453112,358,194.48,18.73,277.6
53,39883645328028,412434324835499,8930033081640,53673063953588,0,0,76588743346622594,53524965405664560,77061291338080076,359,197.98,17.99,277.4
54,39994741833120,413583166965960,8954907825600,53822571095520,0,0,76802082464579760,53674060016822400,77275946745707040,360,193.89,18.61,277.6
55,39661452317844,410136640574577,8880283593720,53374049669724,0,0,76162065110708262,53226776183348880,76631980522826148,357,193.71,18.1,277.8
56,40550224358580,419327377618265,9079281545400,54570106805180,0,0,77868778054365590,54419533072611600,78349223783841860,365,190.19,17.69,290.1
57,39883645328028,412434324835499,8930033081640,53673063953588,26087484,13356791808,76588743346622594,53524965405664560,77061291338080076,359,189.27,17.87,284.3
58,39772548822936,411285482705038,8905158337680,53523556811656,0,0,76375404228665428,53375870794506720,76846635930453112,358,187.43,18.16,284.6
59,39439259307660,407838956313655,8830534105800,53075035385860,0,0,75735386874793930,52928586961033200,76202669707572220,355,185.02,17.59,284.0
60,40550224358580,419327377618265,9079281545400,54570106805180,0,0,77868778054365590,54419533072611600,78349223783841860,365,186.74,18.05,283.4
61,45771760097904,473322957749932,10248394511520,61596942475984,0,0,87895716598352392,61426979797030080,88438027942309168,412,187.64,18.43,276.9
62,42661057955328,441155378097024,9551901680640,57410742501888,19565613,10017593856,81922221295551744,57252330684610560,82427676528754176,384,203.67,18.85,276.4
63,28662898313736,296401269658938,6417683941680,38572842618456,32609355,16695989760,55041492432948828,38466409678722720,55381095167756712,258,191.92,19.3,276.2
64,31884696961404,329717691442307,7139051516520,42908549734484,0,0,61228326853706642,42790153402300080,61606101988938668,287,195.37,18.94,276.4
65,27996319283184,289508216876172,6268435477920,37675799766864,26087484,13356791808,53761457725205832,37571842011775680,54093162721994928,252,189.1,20.14,290.1
66,30218249385024,312485059485392,6765930357120,40665942605504,0,0,58028240084349152,40553734234932480,58386270874534208,272,183.29,20.98,289.6
67,33440048032692,345801481268761,7487297931960,45001649721532,0,0,64215074505106966,44877477958509840,64611277695716164,301,185.61,19.12,289.6
68,30551538900300,315931585876775,6840554589000,41114464031300,58696839,30052781568,58668257438220650,41001018068406000,59030237097415100,275,190.52,18.67,281.6
69,28551801808644,295252427528477,6392809197720,38423335476524,0,0,54828153314991662,38317315067564880,55166439760129748,257,189.35,18.45,281.1
70,30218249385024,312485059485392,6765930357120,40665942605504,6521871,3339197952,58028240084349152,40553734234932480,58386270874534208,272,190.99,19.1,273.5
71,31329214435944,323973480790002,7014677796720,42161014024824,0,0,60161631263920812,42044680346510880,60532824950803848,282,189.29,19.74,284.0
72,33328951527600,344652639138300,7462423188000,44852142579600,0,0,64001735387149800,44728383347352000,64396622288089200,300,184.17,19.33,283.4
73,32995662012324,341206112746917,7387798956120,44403621153804,32609355,16695989760,63361718033278302,44281099513878480,63752656065208308,297,183.78,18.46,282.9
74,34328820073428,354992218312449,7686295883640,46197706856988,0,0,65921787448764294,46070234847772560,66328520956731876,309,182.84,17.21,282.8
75,38550487266924,398648219269967,8631536154120,51878978250404,0,0,74028673931136602,51735830071770480,74485426446556508,347,198.85,18.35,282.4
76,35661978134532,368778323877981,7984792811160,47991792560172,0,0,68481856864250286,47859370181666640,68904385848255444,321,194.25,18.61,269.7
77,35106495609072,363034113225676,7860419091360,47244256850512,0,0,67415161274464456,47113897125877440,67831108810120624,316,193.84,18.15,269.7
78,34884302598888,360736428964754,7810669603440,46945242566648,32609355,16695989760,66988483038550124,46815707903561760,67401797994866696,314,195.31,18.27,284.6
79,34217723568336,353843376181988,7661421139680,46048199715056,0,0,65708448330807128,45921140236614720,66113865549104912,308,190.1,17.63,285.1
80,34439916578520,356141060442910,7711170627600,46347213998920,0,0,66135126566721460,46219329458930400,66543176364358840,310,189.39,18.22,285.0
81,34995399103980,361885271095215,7835544347400,47094749708580,0,0,67201822156507290,46964802514719600,67616453402493660,315,188.87,18.2,285.3
82,33773337547968,349248007660144,7561922163840,45450171147328,0,0,64855091858978464,45324761791983360,65255243918597056,304,185.64,18.14,280.1
83,33551144537784,346950323399222,7512172675920,45151156863464,26087484,13356791808,64428413623064132,45026572569667680,64825933103343128,302,187.19,17.86,280.0
84,37328425710912,386010955834896,8357913970560,50234399689152,0,0,71681943633607776,50095789349034240,72124216962659904,336,188.36,17.81,279.7
85,36884039690544,381415587313052,8258414994720,49636371121424,39131226,20035187712,70828587161779112,49499410904402880,71265595332152048,332,199.31,18.28,279.3
86,35661978134532,368778323877981,7984792811160,47991792560172,0,0,68481856864250286,47859370181666640,68904385848255444,321,192.49,18.37,278.9
87,35661978134532,368778323877981,7984792811160,47991792560172,0,0,68481856864250286,47859370181666640,68904385848255444,321,195.81,18.75,273.8
88,35661978134532,368778323877981,7984792811160,47991792560172,39131226,20035187712,68481856864250286,47859370181666640,68904385848255444,321,193.74,18.34,288.9
89,34884302598888,360736428964754,7810669603440,46945242566648,13043742,6678395904,66988483038550124,46815707903561760,67401797994866696,314,191.04,18.22,288.7
90,34439916578520,356141060442910,7711170627600,46347213998920,13043742,6678395904,66135126566721460,46219329458930400,66543176364358840,310,188.46,18.44,288.1
91,34884302598888,360736428964754,7810669603440,46945242566648,0,0,66988483038550124,46815707903561760,67401797994866696,314,186.58,18.64,288.1
92,35328688619256,365331797486598,7910168579280,47543271134376,0,0,67841839510378788,47412086348193120,68260419625374552,318,187.42,18.61,282.7
93,33440048032692,345801481268761,7487297931960,45001649721532,32609355,16695989760,64215074505106966,44877477958509840,64611277695716164,301,185.29,17.74,282.3
94,37439522216004,387159797965357,8382788714520,50383906831084,0,0,71895282751564942,50244883960192080,72338872370286868,337,195.63,18.19,281.8
95,34439916578520,356141060442910,7711170627600,46347213998920,39131226,20035187712,66135126566721460,46219329458930400,66543176364358840,310,193.63,18.29,281.1
96,34106627063244,352694534051527,7636546395720,45898692573124,0,0,65495109212849962,45772045625456880,65899210141477948,307,194.0,18.11,273.8
97,35328688619256,365331797486598,7910168579280,47543271134376,0,0,67841839510378788,47412086348193120,68260419625374552,318,193.72,18.23,282.7
98,34106627063244,352694534051527,7636546395720,45898692573124,39131226,20035187712,65495109212849962,45772045625456880,65899210141477948,307,192.43,18.01,283.1
99,35995267649808,372224850269364,8059417043040,48440313985968,0,0,69121874218121784,48306654015140160,69548352071136336,324,187.38,17.84,283.0
100,34773206093796,359587586834293,7785794859480,46795735424716,6521871,3339197952,66775143920592958,46666613292403920,67187142587239732,313,188.66,18.41,283.5
101,34662109588704,358438744703832,7760920115520,46646228282784,19565613,10017593856,66561804802635792,46517518681246080,66972487179612768,312,183.82,17.87,283.5
102,34773206093796,359587586834293,7785794859480,46795735424716,0,0,66775143920592958,46666613292403920,67187142587239732,313,183.4,18.15,278.3
103,39661452317844,410136640574577,8880283593720,53374049669724,52174968,26713583616,76162065110708262,53226776183348880,76631980522826148,357,188.56,18.25,278.5
