,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
286,21556,704554,10764,73150,0,0,50162699704,82885636962,50140049364,0,177.53,14.57,250.8
287,12854,2393738,5976,105724,0,0,53180135408,89164222698,53189272716,0,177.67,14.66,250.8
288,20778,3453918,11860,130778,0,0,50459271982,85585215300,50482003324,0,177.16,14.69,250.9
289,20800,4060262,11228,158838,0,0,66164616156,111363730834,66173963872,0,176.98,14.86,262.9
290,17420,1777778,8720,93140,0,0,37041033180,62275035630,37095126370,0,176.96,14.9,262.7
291,16710,2055624,8750,111454,0,0,54937165212,92288746312,54914298644,0,176.72,14.85,262.5
292,24668,2205994,15290,137340,0,0,58129584552,97185569932,58134836578,0,177.26,14.99,262.3
293,14990,2121184,11418,106524,0,0,42842357056,71671460260,42923581814,0,176.47,14.89,262.1
294,23134,1574714,14132,98536,0,0,42023717764,70453215274,41999046116,0,176.85,14.92,261.9
295,23532,2405308,11316,122702,0,0,60047971846,100990540442,60105010610,0,177.1,14.88,261.8
296,17792,1513108,9770,85178,0,0,39030592096,65559628292,39059084140,0,176.91,14.96,261.7
297,11194,1667964,7062,86274,0,0,40274697606,67705802432,40283684354,0,176.61,14.94,261.5
298,39346,2913252,20584,158456,0,0,58582495148,98018728664,58649351782,0,177.53,14.97,261.3
299,21352,2606600,10754,116646,0,0,45414051008,76637453578,45514747418,0,177.81,14.91,261.3
300,20008,2597198,11424,117054,0,0,38572136020,64645062558,38453413152,0,178.59,15.29,261.2
301,57294,6433446,39598,350550,0,0,99456358338,163301716246,99559851484,0,178.19,15.38,261.1
302,48864,3782540,34274,226644,0,0,50827059502,82370373654,50976666098,0,177.78,15.53,261.2
