,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,rss,pkg_pwr,ram_pwr,power
261,5246,243616,7014,41984,0,0,9327315740,20656203460,9331296772,32857,171.76,16.92,250.7
262,19404354,197492664,11560030,46293608,0,0,45378503160,14731210392,47116031786,32857,172.13,16.95,260.9
263,0,0,0,0,0,0,0,0,0,32857,171.77,16.91,249.2
264,0,0,0,0,0,0,0,0,0,32857,171.22,16.95,249.8
265,0,0,0,0,0,0,0,0,0,32857,172.62,16.89,250.3
266,8048,36086,11080,16618,0,0,8044043902,21110746806,8045543766,32857,171.04,16.93,250.7
267,8160,17588,0,0,0,0,689246,1632578,1976022,32857,171.56,16.92,262.3
268,10850,43946,13594,20012,0,0,10101260284,26401061080,10103347278,32857,172.28,16.89,248.6
269,0,0,0,0,0,0,0,0,0,32857,171.86,16.92,249.2
270,0,0,0,0,0,0,0,0,0,32857,171.09,16.78,249.8
271,8848,34554,10772,16228,0,0,8092080260,21226144012,8093175102,32857,172.87,17.03,250.4
272,30855590,325654742,19009776,82705682,0,0,75561923130,24438905166,76750087570,32857,170.99,16.82,250.6
273,0,0,0,0,0,0,0,0,0,32857,171.9,16.78,263.1
274,0,0,0,0,0,0,0,0,0,32857,171.95,16.88,256.2
275,0,0,0,0,0,0,0,0,0,32857,171.48,16.86,246.7
276,6122,240244,8480,46084,0,0,9102399272,19963506580,9108391238,32857,171.85,16.94,254.7
277,6490,265912,11566,47372,0,0,8964433286,20140459826,8973150634,32857,172.81,16.9,254.4
278,60256278,624137262,37921268,157714066,0,0,152868284258,48160546738,154203947992,32857,170.8,16.88,254.4
279,0,0,0,0,0,0,0,0,0,32857,172.02,16.92,254.5
280,0,0,0,0,0,0,0,0,0,32857,172.04,16.85,254.3
281,5104,240668,14320,51170,0,0,9473016498,20966990136,9476260826,32857,172.08,16.96,254.2
282,4942,242708,6620,43486,0,0,9211225750,20617391202,9216867944,32857,171.65,16.92,254.2
283,6006,250636,12136,51548,0,0,9232731458,20486678078,9234835630,32857,172.6,16.88,254.2
284,0,0,0,0,0,0,0,0,0,32857,171.28,16.9,263.1
285,0,0,0,0,0,0,0,0,0,32857,171.63,16.9,247.7
286,0,0,0,0,0,0,0,0,0,32857,172.61,16.97,254.1
287,0,0,0,0,0,0,0,0,0,32857,171.74,17.02,254.0
288,6854,238218,11030,57112,0,0,8700622164,19301864134,8715938224,32857,171.41,16.89,254.0
289,0,0,0,0,0,0,0,0,0,32857,172.86,17.05,254.1
290,0,0,0,0,0,0,0,0,0,32857,170.91,16.87,254.0
291,0,0,0,0,0,0,0,0,0,32857,172.06,16.91,254.1
292,0,0,0,0,0,0,0,0,0,32857,172.58,17.01,254.0
293,5304,245644,7864,39698,0,0,9792142388,21653551174,9793115488,32857,171.32,16.9,254.0
294,0,0,0,0,0,0,0,0,0,32857,171.75,16.98,263.4
295,0,0,0,0,0,0,0,0,0,32857,151.63,16.0,247.4
296,0,0,0,0,0,0,0,0,0,32857,120.11,14.68,254.1
297,0,0,0,0,0,0,0,0,0,32857,124.15,14.82,253.8
298,7394,247024,5558,36054,0,0,9030659318,20162904698,9031449856,32857,122.4,14.81,192.6
299,0,0,0,0,0,0,0,0,0,32857,121.61,14.74,192.6
300,0,0,0,0,0,0,0,0,0,32857,124.64,14.87,192.9
301,0,0,0,0,0,0,0,0,0,32857,120.63,14.7,192.8
302,0,0,0,0,0,0,0,0,0,32857,125.16,14.94,193.2
303,6120,276352,7254,46620,0,0,11259756666,24826223992,11262112740,32857,121.14,14.63,193.0
304,0,0,0,0,0,0,0,0,0,32857,121.18,14.7,193.1
305,0,0,0,0,0,0,0,0,0,32857,142.45,15.68,193.2
306,0,0,0,0,0,0,0,0,0,32857,171.88,17.15,193.1
307,0,0,0,0,0,0,0,0,0,32857,171.68,16.91,193.3
308,7516,302372,6568,56406,0,0,8856721152,19685245498,8860134224,32857,172.5,16.88,259.3
309,0,0,0,0,0,0,0,0,0,32857,170.73,16.73,247.0
310,0,0,0,0,0,0,0,0,0,32857,171.9,16.87,263.1
311,5122,238530,7050,42522,184,94208,8965850050,20012099244,8968286258,32857,172.02,16.94,246.9
312,0,0,0,0,0,0,0,0,0,32857,171.09,16.83,253.6
313,0,0,0,0,0,0,0,0,0,32857,171.67,16.84,253.7
314,0,0,0,0,0,0,0,0,0,32857,171.87,16.83,253.6
315,0,0,0,0,0,0,0,0,0,32857,170.74,16.89,262.6
316,5348,253822,8360,44440,136,69632,9597173334,20630991788,9601880128,32857,172.14,16.99,247.8
317,0,0,0,0,0,0,0,0,0,32857,171.66,16.81,248.4
318,0,0,0,0,0,0,0,0,0,32857,171.7,16.82,253.8
319,0,0,0,0,0,0,0,0,0,32857,170.36,16.85,253.9
