,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
75,3249,922385,761,56617,168,86016,96554600,107123501,39.37,4.98,127289498,103.6
76,7071,674958,243,50582,2008,1028096,137022478,122622289,39.31,4.99,145662897,97.7
77,86203,1523662,8622,103260,0,0,183413509,230303495,39.38,5.23,269425379,97.2
78,12256,896271,1102,74631,0,0,172043639,173803137,39.35,5.14,203538864,96.8
79,4775,779531,56,48418,0,0,148570420,140819244,39.44,5.03,173211422,96.4
80,1776,752998,99,54070,0,0,81126747,87788487,40.01,4.95,141097934,96.1
81,1892,869328,192,53819,664,339968,173863842,143006649,40.16,4.98,189071029,96.4
82,89322,1037275,6557,97854,0,0,186386177,203961653,40.22,5.19,248524254,96.3
83,6725,800009,1099,25429,0,0,137313276,125210168,40.14,5.09,150430768,96.0
84,4472,1182012,270,58922,0,0,161925141,162822943,40.09,4.95,226755523,95.7
85,4009,808622,72,47729,0,0,117711938,117662159,40.03,4.93,160881059,95.4
86,4968,737631,47,43686,384,196608,96639666,95845305,39.94,4.91,112183051,95.3
87,78432,1355591,2080,73584,0,0,225442852,226208682,39.95,5.2,248900202,95.1
88,28845,973185,1727,63080,0,0,153073314,133579350,39.97,5.09,190571540,94.9
89,5627,707173,639,40928,0,0,143853273,124576632,40.06,4.99,150594925,94.7
90,4972,825061,878,34670,0,0,134656896,122663819,39.98,4.99,152819901,106.8
91,2180,992594,197,76734,272,139264,152949211,157105318,40.02,4.97,204983620,106.7
92,93053,1348522,7964,72191,0,0,221140694,242055426,40.03,5.21,258994414,94.2
93,14703,1115252,455,45798,41952,21479424,129943815,158637054,40.01,5.08,190542618,94.1
94,3737,863734,475,35098,0,0,109895192,128874836,40.03,5.04,157605281,94.1
95,1162,764058,149,41483,0,0,130704345,120619917,39.94,4.95,149810011,94.2
96,3545,1035589,216,54509,608,311296,136164244,135427891,39.92,4.93,196085258,94.3
97,87444,1259981,4185,92877,0,0,164951851,191215235,40.04,5.17,243937164,94.3
98,13142,631294,431,55522,0,0,143654615,115969709,39.99,5.08,146745687,113.2
99,10069,1015831,2266,61311,0,0,186759550,165021269,39.99,5.03,207458723,113.7
100,2859,749570,459,45285,0,0,107580408,129946875,40.03,4.98,160059579,113.2
101,1949,591287,145,54268,272,139264,118297257,95036256,40.06,4.93,129515444,113.2
102,83722,1073691,3430,77074,0,0,217146881,209236086,40.08,5.14,225176142,99.6
103,36456,1225423,1566,79786,0,0,179981534,180456978,40.05,5.11,251822829,94.0
104,2919,815277,78,44194,0,0,109669219,135545619,39.78,5.06,166079952,93.9
105,8718,828995,82,48583,0,0,79793891,116337788,39.48,5.04,161185767,93.9
106,2830,910642,113,33347,0,0,163630944,158006219,40.11,4.99,185693284,126.3
107,76044,1254327,5759,79464,328,167936,198391489,208680993,40.31,5.17,214170254,126.5
108,16138,856831,451,42634,0,0,147862618,135904822,40.31,5.12,174585802,126.6
109,5303,822021,974,36632,0,0,113238367,120951011,39.53,4.99,155508708,126.7
110,6600,936550,258,82311,0,0,113733935,134521840,39.45,4.98,176279335,126.7
111,5067,851302,203,28937,0,0,104773835,106557682,39.54,4.93,159369198,126.8
112,83874,1182870,3531,89604,272,139264,184549961,183119179,39.6,5.18,237988607,126.8
113,11544,1128991,679,70635,0,0,180227754,161050617,39.44,5.1,200233399,126.8
114,4328,848532,103,47760,0,0,132736013,123389117,39.4,4.99,157228978,126.9
