,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
0,58610,156188,5872,21382,0,0,8702427200,14817109574,8654562254,0,195.33,18.77,276.0
1,50162,135994,5952,18620,0,0,8893207340,14495590220,8900296510,0,191.17,18.52,275.5
2,30758,132876,4652,15774,0,0,6802827746,10590135112,6809670802,0,184.07,18.79,276.0
3,19520,175684,3630,25034,192,98304,6628418230,12235759832,6607707412,0,182.74,17.73,276.7
4,18166,191728,4290,30416,0,0,3462515314,6954182398,3571807078,0,186.79,18.38,276.9
5,27408,199138,4188,26936,0,0,8812602666,16190754538,8719185910,0,184.65,17.3,270.3
6,16750,96456,3006,12584,0,0,4271238378,8104512024,4243801250,0,195.06,18.33,269.8
7,29564,235462,7524,35974,0,0,5777021652,11050180544,5809632364,0,197.15,18.11,270.1
8,23590,178236,4304,22382,0,0,5859080682,11020336014,5863593208,0,193.71,18.31,270.0
9,30360,265412,6656,29072,0,0,7387429134,13511620190,7405937606,0,193.82,18.27,282.1
10,28278,196308,4316,22810,0,0,6092804788,11101176670,6068214174,0,191.86,17.95,282.5
11,23382,243402,7256,40808,0,0,4921932724,9736236584,4920739352,0,188.27,18.18,282.6
12,20924,220688,8666,28186,0,0,5020700692,9217303114,5047105178,0,187.5,18.08,282.5
13,18588,173256,3892,25678,0,0,5688167910,10002686852,5692024636,0,184.05,18.13,282.1
14,17618,169082,2842,23380,0,0,6021674148,10687692668,5994865078,0,186.69,18.12,275.3
15,24110,241230,4740,32958,0,0,4576278350,9373518752,4591804480,0,189.0,18.48,275.1
16,16322,147866,2530,22158,0,0,4192728396,7785692056,4205499222,0,199.16,17.97,269.8
17,31434,245104,8508,35590,0,0,5187599564,9989688896,5192587796,0,194.33,18.68,270.2
18,24074,172540,5436,24910,0,0,5047591756,9595428164,5036326226,0,194.9,18.13,270.8
19,30040,205668,5740,28082,0,0,6691624968,12667703318,6706124118,0,192.22,18.18,287.6
20,21270,230138,6268,37572,0,0,5639894152,11246597822,5660899136,0,191.19,18.22,287.1
21,33788,300394,10976,43168,0,0,5514251220,11364345114,5513426938,0,189.25,18.84,286.7
22,18068,192376,4094,32432,0,0,3903852136,8031705534,3905473990,0,187.77,18.95,280.5
23,36864,288688,9412,39174,0,0,8148471402,14559358990,8135797432,0,189.09,19.03,280.3
24,19206,115494,3290,19122,0,0,4005269316,7318015376,4015169628,0,194.09,18.63,279.9
25,19452,177438,6978,23600,0,0,4972433624,9533200442,4971343924,0,198.04,17.54,279.5
26,23114,161620,3720,23532,0,0,5517030560,10462004132,5532937998,0,191.26,18.77,279.3
27,22664,118376,3214,14274,0,0,4265728594,8311433074,4283046494,0,196.65,18.84,279.5
28,18812,226192,5606,26228,0,0,5687517784,11563563096,5660700602,0,191.26,17.83,287.5
29,27950,310020,7340,42210,0,0,6545918548,13130920198,6549550374,0,188.77,18.03,279.9
30,19770,172570,5256,42614,0,0,7152393896,13574026316,7161125780,0,184.75,17.77,286.7
31,27008,205406,6786,30518,0,0,5394010408,10723017586,5419680486,0,187.56,18.18,280.4
32,25454,292364,5344,48292,0,0,6671002792,13276150566,6673677796,0,186.96,18.41,280.2
33,19110,212494,5900,36966,0,0,5093551886,9019672420,5062492418,0,186.48,18.11,270.8
34,30520,235888,7400,36078,0,0,8275470842,14635122296,8311652628,0,192.82,18.24,271.4
35,19528,140684,4060,17590,0,0,4691278132,8506994442,4688338868,0,196.54,18.15,271.9
36,41496,190406,6576,21254,0,0,6624557512,13184476044,6611468978,0,193.25,18.52,272.3
37,32026,190128,6764,32696,0,0,6347957778,12352100880,6355961292,0,194.55,18.45,279.6
38,23580,183350,4602,27538,0,0,5465149784,10351653228,5458667688,0,191.4,18.16,287.8
39,25674,178846,5328,30308,0,0,4873767112,9285239158,4887503238,0,190.46,18.76,282.0
40,24688,308912,9074,46654,0,0,5340643320,10809708966,5350123678,0,189.17,18.43,282.5
41,40042,242394,8070,35104,0,0,6689571632,13123195600,6689616414,0,187.41,18.96,282.2
42,21484,146288,3766,18126,0,0,4890097044,9514037512,4878590550,0,184.88,17.85,281.9
