,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
67,63783378,841587720,13209232,43601488,0,0,176901102594,228101021596,177653984726,0,188.84,17.05,273.0
68,42139290,633611592,11995058,40229888,2240,1146880,179985382648,251183539110,180828160888,0,187.08,16.59,272.7
69,44616108,632975394,11888330,41201280,160,81920,176762609582,247059560896,177647626080,0,185.39,16.57,272.4
70,46475178,410422100,8588124,44271862,0,0,185214508620,248900765944,186480359358,0,183.53,16.8,265.8
71,49676862,210022588,3843310,24663712,0,0,162531516266,224082698842,163437923878,0,181.66,16.77,265.8
72,84175274,227365502,5200050,27066480,172112,88121344,233804963780,309700314714,235136074524,0,179.55,17.44,265.5
73,78307142,162164650,2785122,17187218,0,0,178044229406,244789700510,179477076636,0,179.6,16.96,275.2
74,24033974,170359690,2310700,16852248,664,339968,162034700050,216952690088,163320768734,0,183.94,16.91,275.7
75,42301040,387201990,1632114,20810622,0,0,160190611926,227652842514,160964796642,0,192.31,16.77,275.9
76,82844260,841105156,9680534,49379218,0,0,191086848978,242812650356,191913446112,0,189.39,17.72,275.9
77,57066274,893895714,15741334,44761016,0,0,182169690270,246372237880,182923086980,0,187.53,16.74,270.0
78,40836642,580169030,10468926,43571010,0,0,180259545836,237863188804,181041588456,0,184.88,16.76,269.8
79,56270568,515541946,11839484,48922346,904,462848,231168934112,297786880352,232333231558,0,182.4,16.62,269.3
80,48737943,212806813,5425046,27899742,0,0,169646176359,217321146710,170615786497,0,181.13,16.88,269.0
81,51588912,163198472,3618450,17301670,0,0,183633534604,237397573726,184257133556,0,179.75,17.54,268.5
82,99520996,218631504,4020656,22440992,0,0,175734496290,232387896440,176911824756,0,180.57,17.45,273.8
83,26272982,148840482,2124630,16540246,0,0,175080803522,235264791872,176290891922,0,183.19,16.88,274.4
84,58193420,543246110,2334292,29761814,4360,2232320,228557217468,310904741304,229457954232,0,191.01,16.82,274.9
85,82078708,799628190,10421572,43069286,0,0,165128768830,208726515582,165966826574,0,189.85,17.86,275.0
86,59508742,896093546,14957724,47993418,0,0,196013584954,258268233280,196677373030,0,187.51,16.8,274.4
87,46613562,707183922,11615598,48712312,0,0,178840930332,235983808196,179884738304,0,185.89,16.73,268.6
88,29809830,305425076,4730480,30445524,0,0,175677634542,235727924708,176387953458,0,181.7,16.46,268.4
89,62688990,258189946,4663238,28246936,216,110592,185559510478,247594295366,186654820840,0,182.21,16.97,268.1
90,39265888,141652410,3369198,17459758,0,0,169562053128,226915758894,170773112626,0,179.0,17.14,267.8
91,103301792,204727108,4677302,24920182,0,0,174645366866,235834997072,175517398532,0,180.76,17.34,268.3
92,44776126,180763950,2321778,17669592,0,0,231051651864,310816396970,232535973256,0,182.34,16.74,276.6
93,39907098,362535660,1952206,19941046,177720,90992640,178967922882,247074445254,179688611786,0,190.05,16.7,276.0
94,65088110,530246522,3374812,25394708,720,368640,161061550572,212705070808,161666699254,0,184.64,17.1,276.1
95,40947764,621530760,5593242,32977592,0,0,172999511780,242372945888,174444460744,0,188.29,16.45,276.2
96,56774302,742113348,14730504,43441020,0,0,170949599988,237805788304,171618376842,0,189.85,17.22,275.6
97,62061164,799973972,14255060,59529294,0,0,233276651866,321566296186,234420084772,0,185.43,16.54,267.5
98,57293766,256071788,5599078,32275394,0,0,175625051596,229158009004,176560365614,0,181.2,17.11,267.2
99,32223648,138700196,2608984,15952272,160,81920,157330114748,212451333104,158518875128,0,180.1,16.8,267.4
100,90975064,195380400,5387236,23783594,0,0,223871950522,295535171162,225253400786,0,180.68,17.45,267.0
101,65938432,138560026,2428832,12731200,0,0,166534059814,231917618206,167833478356,0,178.85,16.9,282.1
102,38288178,326096258,2819928,25642480,0,0,184216171436,238095908914,185132558750,0,191.92,17.61,281.6
103,88173514,723306766,4044856,32732718,0,0,182737933898,242303697792,183700708412,0,189.64,17.33,276.3
104,38210770,583682284,10430324,34880048,1168,598016,168421445486,227113968998,169020999380,0,186.9,16.79,276.1
105,54031032,840603068,15369468,48000538,0,0,193061284808,257694207402,193544308206,0,188.32,16.77,275.6
106,43122176,611905672,11719078,42880328,0,0,177836676376,244787192896,179962423362,0,184.52,16.44,269.1
107,34948954,250684038,4911546,31342808,0,0,160674206236,223647162898,160951478856,0,181.85,16.84,268.7
108,63438918,264374316,4146502,28771506,0,0,226414342046,307450051956,227799457420,0,179.51,16.52,268.5
109,63963156,151491034,3326396,17376650,160,81920,189297199980,251945268182,190305278034,0,179.35,17.27,263.1
110,83565378,161696182,2651032,17471600,0,0,195063714784,254430243742,196305012778,0,177.62,16.73,274.7
111,28215404,182409266,2799304,19395130,0,0,191661759734,244157540024,192400701106,0,184.73,17.29,281.6
112,52092818,463897708,1723802,24540034,0,0,188967193926,265041363050,189870971438,0,192.0,16.87,281.2
113,70155724,636921454,6156068,38726636,173320,88739840,140512796096,178929951470,141047395484,0,189.22,17.71,280.9
114,67950344,1045889550,13610368,45149886,664,339968,197689551500,269102925394,198910820738,0,189.48,16.93,275.3
115,56213954,758526586,13835380,52381882,0,0,201455428764,279025400352,202459647060,0,186.85,16.74,274.9
116,45633392,320288836,6519624,37085096,0,0,180307883302,244691410244,181400919756,0,184.57,17.1,266.2
117,47882374,189043760,3580524,19801474,0,0,170308099824,234373382420,171400784394,0,179.74,16.44,266.6
118,45771840,136215428,3596092,18134794,0,0,156298563818,217161123180,157464278522,0,181.35,17.72,266.7
119,110488014,212747558,4139358,23096356,160,81920,174227410602,241193890376,175265517604,0,180.03,17.32,279.0
120,39907746,287569032,2972606,25199652,0,0,222673523196,294387414560,224215686922,0,188.83,17.44,279.2
121,76647962,550757062,3203702,29985082,0,0,177425816752,237250864210,178125123974,0,190.5,17.58,279.2
122,75113438,972153306,14528958,50862096,0,0,185807628866,237562712374,186672622440,0,190.06,17.09,271.9
123,46112172,679353234,10974254,43075014,0,0,177577974930,228416704656,178249700392,0,184.64,16.52,271.8
124,44748714,656172390,10801952,45283420,160,81920,179465029868,241566360460,180248990786,0,184.26,16.5,271.5
125,30461434,233390372,5011612,25691858,0,0,175061598220,235797111566,175976328674,0,181.75,16.83,270.9
126,66231028,285894988,5051950,32475298,0,0,173229436300,233342657800,174134364020,0,179.96,16.8,270.5
127,69869042,181411470,3839104,21500812,0,0,236912744460,319234207112,238690656910,0,179.73,17.66,270.0
128,94928930,186800176,3790240,19666228,0,0,184132230164,245516470070,185061655870,0,178.87,16.96,279.3
129,28387368,254417984,2783294,22329172,160,81920,175748823794,231151878570,176725989506,0,190.06,17.5,279.3
130,42018308,364523936,1346718,17238942,0,0,163482064356,230726328728,164277202334,0,189.66,17.18,278.8
131,92210126,960771952,10535562,55372514,0,0,216240262802,276435772384,217201104896,0,186.71,16.78,278.2
132,51402042,732139764,14063496,40474588,0,0,170568336998,231407673478,171454501572,0,186.74,16.75,273.1
133,35274874,508468328,7306080,31109196,0,0,171505717860,233641054950,172404052810,0,184.92,16.75,272.6
134,39476492,522970242,9663270,41281332,0,0,198250836458,265068919018,199098969640,0,182.37,16.59,272.2
135,60922890,258513984,5382860,32427504,160,81920,184375373514,244550425310,185231498882,0,182.1,17.04,271.6
136,29899932,153060644,3928938,18820074,0,0,166034318756,225790189750,167253554636,0,179.91,17.13,271.3
137,97742558,206766618,4230762,22817052,0,0,181836864870,244610985510,182936379636,0,180.71,17.45,266.1
138,45626318,88590362,1231388,5925562,0,0,167166780288,233732359584,168732500682,0,179.13,16.73,280.4
139,41743170,348847236,3387432,26289342,213424,109273088,200354101718,265731223662,201420827232,0,191.7,17.15,279.9
140,53804016,437258464,2453298,21911234,832,425984,177741174284,251856808780,178688887656,0,187.34,17.22,279.4
141,71283584,863871648,9657502,41709330,0,0,213167769402,285198601158,214233981104,0,187.26,16.77,279.0
142,47587732,690788394,12460136,37774924,0,0,168636273098,234208328122,169792206970,0,187.44,16.81,272.4
143,39972212,582212408,10822394,37534654,0,0,158797596096,224774821820,159196180670,0,184.64,16.48,272.2
144,53798676,458868670,8977120,44696138,0,0,213368578738,297578401960,214524229002,0,183.68,16.98,271.7
145,53078886,224761774,4237256,25764928,776,397312,174715113882,240402392976,176015157076,0,180.35,16.57,266.2
146,16600272,85156452,2911994,12142210,0,0,132233306544,183407557736,133125091554,0,178.96,17.47,266.1
147,134129224,258116468,5376628,30446230,0,0,220941576786,293946707494,222247621446,0,178.61,17.12,266.3
148,25816208,80531146,1344446,8231508,0,0,162128611082,221310469380,163672304538,0,182.35,16.96,280.2
149,51196126,446788458,2781376,28357084,0,0,224459883414,292964279138,225448586416,0,190.84,16.91,280.1
150,75282732,620499968,4387228,28895170,160,81920,139753108066,176232004886,140113675804,0,189.02,17.84,279.5
151,72609678,1109917976,19887718,61806298,0,0,227448701852,293829712956,228491563376,0,186.88,16.81,278.8
152,42262176,637368760,12478746,51622716,0,0,185368986170,254256729818,186262940778,0,185.58,16.71,265.8
153,34145490,412890104,8043582,33555302,0,0,167218577926,228299329126,168133527080,0,180.72,16.2,266.2
154,56274106,243222486,5389420,33803406,0,0,175934300626,235811794898,176925518340,0,181.32,16.93,266.1
155,38786252,180945334,2997836,19130426,160,81920,225145288954,304325674388,226624854730,0,179.2,16.93,266.7
156,109228214,214283732,4569770,27994488,0,0,176396651384,232902585398,178229435510,0,181.17,17.57,260.7
157,36903146,69598142,1459490,6602508,0,0,168524854590,234733054348,169272508542,0,178.51,16.3,280.9
158,37343668,297768728,3576282,24480196,0,0,192486695614,255804780756,193383811442,0,190.93,17.18,280.5
159,90909432,717116768,3836796,33919918,169664,86867968,196233419306,262247275762,199247086104,0,187.48,17.35,279.9
160,44086524,702421158,13551310,38872202,720,368640,171840883788,233360305888,170756959288,0,188.21,16.93,279.4
161,46513780,689396018,14495340,48816294,0,0,187251338854,262533329902,188228642878,0,186.76,16.62,270.5
162,36585158,522397196,9029722,37240446,0,0,129185328716,176704789330,129915892740,0,184.75,16.44,270.7
163,50761506,460033066,7745442,39086384,0,0,218500985468,308457009000,219644675938,0,183.42,16.94,270.6
164,55025074,243439430,3663508,28326272,0,0,157602356064,226507781138,158692795398,0,181.64,16.98,270.3
165,40808088,135355164,3591152,17457872,160,81920,155797127904,218568238146,156906265962,0,180.8,17.47,269.8
166,103143282,217919442,4105750,27359332,0,0,204712552950,283841979428,206178113232,0,178.31,16.66,276.6
167,30575230,162931648,2763498,18126280,0,0,172168922192,241227033004,174114160164,0,190.58,17.33,283.8
168,35939176,340606008,1125582,18415308,0,0,132275241470,190698568426,132974798954,0,191.31,17.59,276.8
169,96626572,986263628,10753354,50346036,0,0,230633707090,317766419000,232007276116,0,188.95,16.68,276.7
170,41786430,598201342,11673204,32855218,160,81920,121688732380,174632977736,122810682066,0,187.44,16.82,276.3
171,46694180,675404898,12784108,45694690,0,0,212882924306,311275566270,213937088972,0,185.84,16.49,275.7
172,41489352,543868850,9142762,40986854,0,0,151596512758,217637623216,152590229728,0,183.32,16.74,267.0
173,57535802,260695730,5281314,32431126,0,0,201870320616,284347430816,203541261598,0,180.23,16.49,266.8
174,34258640,154674422,3204058,16922102,0,0,158764497148,227385852100,160135788370,0,178.42,16.77,267.1
175,56379204,128955636,2562892,13684610,160,81920,153901883348,214713123150,155277084804,0,181.97,17.8,266.7
176,98498940,197668594,3825000,21813336,0,0,210864846658,293063505710,212616061222,0,179.32,16.56,280.9
177,32588128,273496668,3394810,26195808,0,0,170587069778,228024219050,171556189848,0,190.57,17.09,280.7
178,88598876,705137934,3654952,34946804,0,0,199563239870,272273931132,200680516960,0,189.33,17.39,280.3
179,35621050,483991982,7620120,28550256,0,0,122466586388,165832280870,122925916762,0,189.07,17.12,279.8
180,60242722,906945634,17023528,52972062,174432,89309184,199072888914,278932453844,200383009726,0,186.43,16.68,273.5
181,55372838,770554538,14365488,53656966,0,0,203390180914,290513780164,204652404924,0,186.12,16.48,273.4
182,48569268,324887792,5777104,37909580,0,0,178920070646,248734834772,180043497726,0,182.24,16.99,265.6
183,53611814,227665920,3944108,23721650,0,0,177951989504,248579727582,179086754658,0,179.22,16.67,265.6
184,32940500,90779740,1648386,9432384,0,0,167818496534,227883638366,169154679404,0,180.03,17.49,265.6
185,106319886,202955168,4278610,28698350,160,81920,195316677586,253659434792,196221737518,0,177.4,16.46,266.1
186,28571778,82396528,1907084,10869832,0,0,166337604658,216896006016,168027197910,0,186.49,17.33,281.6
187,41669402,363763878,2054232,22630652,0,0,192964186668,261443464754,194471349270,0,191.83,17.01,281.0
188,85776850,811273160,6748418,44241402,0,0,202982756962,273084537598,203352885792,0,187.32,17.36,280.7
189,60833714,849807328,19756182,43514900,0,0,186893361364,257813025638,187237079698,0,187.56,16.72,273.6
190,40831218,629258990,10925122,39992526,160,81920,163726518376,228473704096,164573108604,0,187.57,16.93,273.3
191,42012526,553054300,9880406,43510760,504,258048,173918136626,242641729556,174812818454,0,183.45,16.68,272.9
192,57184372,248944090,5581886,33121232,0,0,183266235604,253864207536,184404535180,0,182.1,16.99,266.1
193,34997708,157621236,3568148,16620998,0,0,170117118394,237091294482,171396761916,0,179.06,17.31,271.6
194,88245008,186802300,3725152,21199184,0,0,167978779884,228415670770,169323505102,0,180.22,17.24,264.8
