,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
474,1362526,6817959,311767,529809,1392,712704,2105132385,2718064747,40.24,6.85,2155078489,131.3
475,232480,2554117,11668,140934,1344,688128,1285484237,1646613299,40.4,7.0,1322788829,131.0
476,1383587,6903427,439469,555333,0,0,1840847707,2333567021,40.28,6.87,1880273814,131.2
477,184016,2903255,15612,151992,0,0,1615166673,2169582624,39.4,6.89,1659185769,131.5
478,1417396,7439800,256709,797221,0,0,2214781933,2915603626,40.23,6.81,2303916697,131.6
479,422459,3463526,34878,246544,328,167936,1502929893,1966499710,35.49,6.56,1552682296,131.6
480,1338776,6029153,241330,483034,0,0,1732859263,2259688768,40.27,6.82,1787523023,131.4
481,247972,2746014,18164,181948,0,0,1627788971,2093059412,40.42,7.03,1666355505,125.3
482,1477171,6291333,74958,263851,0,0,1552397217,2045459722,40.26,6.88,1631810032,132.4
483,564825,3327686,53304,194008,0,0,1381740351,1949591716,40.33,6.92,1454962150,132.5
484,1223530,5957356,258416,437504,0,0,1588019404,2072940990,40.12,6.87,1676967311,132.6
485,405727,3608460,22890,173487,944,483328,1747612755,2272279535,39.94,6.51,1821659445,132.6
486,441025,3526762,36820,194294,0,0,1344857314,1730930924,40.07,6.68,1414716795,132.5
487,1251289,5028523,451607,452638,0,0,1411561765,1917041662,39.9,6.47,1476617774,132.3
488,139995,2684713,16722,122990,0,0,1608010757,2066955495,39.76,6.12,1672796552,132.2
489,918888,4102199,261786,485772,0,0,867461700,1176795032,40.19,6.95,982069346,132.1
490,720617,3884802,105352,262664,328,167936,1764984843,2331951270,39.87,6.48,1852401613,132.0
491,229387,3012426,93599,242833,0,0,1287298052,1655244962,40.01,6.64,1382302835,131.9
492,1194436,5155833,336427,526331,0,0,1779380366,2366823834,39.93,6.41,1873582983,131.8
493,101248,1875724,11365,123478,0,0,1258081748,1613166994,39.81,6.25,1282338475,131.8
494,1316112,5973191,333309,647836,0,0,1528141860,2017440728,40.14,6.83,1563929578,131.7
495,243866,2746189,13067,116141,400,204800,1283116595,1689849164,39.9,6.48,1364641274,131.7
496,115935,2298803,10237,122807,0,0,1199881884,1517541616,39.96,6.61,1259553639,131.7
497,1162146,6201827,361659,553810,0,0,1849093386,2415676283,39.88,6.44,1902967604,131.5
498,112363,1967542,12883,113317,0,0,1273577042,1632706091,40.03,6.5,1280925955,131.6
499,1295347,6267403,235605,480537,0,0,1616603659,2082144122,40.1,6.69,1671573493,131.5
500,270992,3061588,28339,171574,40536,20754432,1642878135,2122942564,40.05,6.43,1681547785,131.5
501,784740,4389539,325786,467469,0,0,1222668094,1561075953,40.04,6.58,1272376089,131.5
502,478160,2961619,56860,418939,0,0,1386473109,1844757740,39.94,6.43,1430822678,131.4
503,136049,2611383,12566,146299,0,0,1624640317,2085889341,40.0,6.48,1657891345,131.5
504,1262158,6249023,471167,542550,0,0,1635290948,2159356880,39.94,6.64,1676124864,131.4
505,243334,2664620,20803,88746,1000,512000,1179161743,1570651004,39.82,6.47,1296261411,131.4
506,707014,4297780,161858,272516,0,0,1259669546,1688539613,39.94,6.74,1356837037,131.4
507,900112,5057985,242755,602536,0,0,1720176049,2251850830,39.84,6.45,1772284038,131.4
508,143823,2573782,14475,155080,0,0,1632788029,2137180077,39.64,5.88,1676986317,131.5
509,140885,1173727,8726,46735,0,0,175439051,225696103,39.49,5.58,216516742,131.4
510,1305702,5776140,314274,389281,328,167936,1087797447,1402642682,40.15,6.76,1147625258,131.0
511,202931,2470150,13014,176451,0,0,1674069018,2121239085,39.91,6.46,1714071795,131.1
512,82354,1819466,10686,92076,0,0,943304251,1250505680,39.48,5.54,1018534700,131.1
513,1128932,5032014,234002,223534,0,0,742322705,1024709890,40.16,6.84,851887979,131.0
514,178168,2613020,14750,147048,0,0,1677757670,2160044929,39.93,6.45,1695201800,130.9
515,229369,2607980,15743,135530,384,196608,1304993506,1630806061,39.55,5.64,1403818266,131.0
516,12240,729933,129,42126,0,0,55828432,61230695,39.85,6.08,78942110,131.0
517,1482196,6391697,239548,530145,0,0,1665391460,2237711587,39.91,6.48,1736429498,130.6
518,125448,2529741,14292,132274,0,0,1559178715,1989192733,39.93,6.31,1574251520,130.8
