,Unnamed: 0,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
288,288,9617022,31737098,944840,4745066,3576,1830912,21513343688,45702303808,21587672888,118.67,14.74,185.3
289,289,8020634,26497170,707890,3888260,0,0,17367898476,36742627382,17391226734,118.77,14.79,185.2
290,290,9805220,31427970,889106,4918988,0,0,21672413984,46000592606,21699462000,119.04,14.78,185.2
291,291,7322366,23412114,698086,3744086,0,0,17151856726,36715993440,17194138174,118.99,14.78,185.2
292,292,9759680,31613858,873414,4577550,56,28672,21571350492,45810394374,21607889232,118.78,14.75,185.2
293,293,7756404,25321342,699366,3570820,3352,1716224,17356502120,36766885488,17380517450,118.85,14.75,185.3
294,294,9272724,30013902,885088,4147302,0,0,21568556790,45892101368,21596615390,118.85,14.77,185.3
295,295,7865892,25708856,767072,3333300,0,0,17488978942,36997778428,17538074752,119.06,14.8,185.3
296,296,9479762,31584428,916954,4526784,0,0,21707924822,46142948748,21796475564,118.89,14.76,185.2
297,297,8023200,25300838,769452,3506730,0,0,17379659570,36814020700,17454098010,118.95,14.74,185.2
298,298,9697268,31429748,975006,4275660,3240,1658880,21633500184,46007566650,21704700282,119.01,14.79,185.2
299,299,8003470,25429186,797580,3546206,0,0,17370780830,36791966894,17485770384,118.61,14.72,185.2
300,300,10112618,31539924,959588,4512004,0,0,21747546710,46217561984,21801739836,119.06,14.81,185.2
301,301,7725286,24226922,700890,3155742,0,0,16990653550,36323616860,17053239530,119.17,14.77,185.2
302,302,7897418,25980938,789278,3741402,448,229376,17620327840,37350369874,17695876320,118.95,14.78,185.2
303,303,9858636,31084256,944262,4736748,3520,1802240,21692700184,46172102570,21745958464,118.91,14.79,185.3
304,304,8071260,25419748,836464,3684378,0,0,17386291124,36875522410,17449889682,118.94,14.82,185.3
305,305,9852400,31466666,981720,4367998,0,0,21501512118,45776642964,21588023346,119.01,14.79,185.3
306,306,8214956,27050352,810584,3616996,0,0,17527396728,37102022946,17606112592,118.92,14.79,185.3
307,307,10022870,31628152,953796,4437316,0,0,21675915646,46109238366,21733982082,118.91,14.8,185.2
308,308,8102258,26058012,794876,3194730,117544,60182528,17281727632,36657063594,17370506910,118.89,14.76,185.3
309,309,9704988,30692410,947888,3683740,0,0,21404172772,45664737362,21501206572,118.72,14.75,185.3
310,310,8043238,26111542,787008,3152396,0,0,17410160492,36957714866,17467569760,118.77,14.78,185.2
311,311,10309254,32821954,1006340,4218062,0,0,22457935706,47770581096,22615889706,118.91,14.76,185.2
312,312,7255526,22041494,660378,2974272,0,0,16846682780,36272613448,16874498276,118.82,14.8,185.3
313,313,7370756,25024590,752934,3276844,3856,1974272,17274665298,36845927274,17373249428,118.75,14.77,185.3
