,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
0,6333413393208,127000267703496,10388395096992,46946847425808,0,0,51815363364834960,21961922443707048,52140306873871392,264,154.51,16.53,227.7
1,6909178247136,138545746585632,11332794651264,51214742646336,38620848,19773874176,56525850943456320,23958460847680416,56880334771496064,288,156.23,16.69,227.6
2,6741246831407,135178315245009,11057344781268,49969939873682,43448454,22245608448,55151958733025090,23376137146521517,55497826634688868,281,155.31,16.63,227.4
3,6501344808937,130367699044119,10663844966988,48191650198462,28965636,14830405632,53189255575266190,22544246144865947,53522815010678588,271,155.4,16.62,239.2
4,6117501572985,122670713122695,10034245264140,45346386718110,43448454,22245608448,50048930522851950,21213220542217035,50362796412262140,255,155.21,16.62,239.6
5,8180658966227,164042012450349,13418343666948,60639677925002,19310424,9886937088,66928177679578490,28367483156454937,67347896378750548,341,163.08,16.19,246.1
6,8252629572968,165485197310616,13536393611232,61173164827568,19310424,9886937088,67516988626906160,28617050456951608,67940399865953632,344,169.17,15.87,246.0
7,8564502202179,171738998371773,14047943369796,63484941405354,0,0,70068502731992730,29698508759103849,70507914977166996,357,171.48,15.91,246.2
8,8756423820155,175587491332485,14362743221220,64907573145530,53103666,27189076992,71638665258199850,30364021560428305,72087924276375220,365,171.66,16.03,246.6
9,7988737348251,160193519489637,13103543815524,59217046184826,33793242,17302139904,65358015153371370,27701970355130481,65767887079542324,333,172.65,16.17,258.7
10,8060707954992,161636704349904,13221593759808,59750533087392,0,0,65946826100699040,27951537655627152,66360390566745408,336,174.75,15.77,258.5
11,8708443415661,174625368092307,14284043258364,64551915210486,0,0,71246124626648070,30197643360097191,71692921951573164,363,175.94,15.23,258.1
12,7748835325781,155382903288747,12710044001244,57438756509606,0,0,63395311995612470,26870079353474911,63792875455532044,323,178.47,15.72,257.8
13,7700854921287,154420780048569,12631344038388,57083098574562,0,0,63002771364060690,26703701153143797,63397873130729988,321,178.33,15.66,257.4
14,7029129258371,140951054686077,11529544558404,52103887483946,48276060,24717342720,57507202522335770,24374406348508201,57867840583501204,293,177.77,15.79,240.9
15,7221050876347,144799547646789,11844344409828,53526519224122,0,0,59077365048542890,25039919149832657,59447849882709428,301,177.72,15.88,241.3
16,7628884314546,152977595188302,12513294094104,56549611671996,0,0,62413960416733020,26454133852647126,62805369643526904,318,171.71,16.62,241.4
17,7676864719040,153939718428480,12591994056960,56905269607040,0,0,62806501048284800,26620512052978240,63200371968328960,320,169.16,17.08,241.5
18,7604894112299,152496533568213,12473944112676,56371782704474,9655212,4943468544,62217690100957130,26370944752481569,62607868481125876,317,166.86,17.07,241.4
19,7484943101064,150091225467768,12277194205536,55482637866864,28965636,14830405632,61236338522077680,25954999251653784,61620362669120736,312,166.69,17.07,241.8
20,7293021483088,146242732507056,11962394354112,54060006126688,0,0,59666175995870560,25289486450329328,60040353369912512,304,164.87,17.12,242.1
21,7724845123534,154901841668658,12670694019816,57260927542084,0,0,63199041679836580,26786890253309354,63595374293131016,322,167.72,17.33,242.5
22,7053119460618,141432116306166,11568894539832,52281716451468,0,0,57703472838111660,24457595448673758,58065341745902232,294,168.03,17.2,242.7
23,7364992089829,147685917367323,12080444298396,54593493029254,0,0,60254986943198230,25539053750825999,60632856857115596,307,167.68,17.29,243.2
24,6525335011184,130848760664208,10703194948416,48369479165984,14482818,7415202816,53385525891042080,22627435245031504,53720316173079616,272,167.98,17.34,243.6
25,7364992089829,147685917367323,12080444298396,54593493029254,19310424,9886937088,60254986943198230,25539053750825999,60632856857115596,307,169.06,17.37,244.0
26,7436962696570,149129102227590,12198494242680,55126979931820,0,0,60843797890525900,25788621051322670,61225360344318680,310,169.07,17.35,244.2
27,7197060674100,144318486026700,11804994428400,53348690256600,0,0,58881094732767000,24956730049667100,59250348720308400,300,169.68,17.34,244.4
28,7173070471853,143837424406611,11765644446972,53170861289078,0,0,58684824416991110,24873540949501543,59052847557907372,299,168.93,17.4,244.7
29,7484943101064,150091225467768,12277194205536,55482637866864,0,0,61236338522077680,25954999251653784,61620362669120736,312,167.75,17.37,251.6
30,6093511370738,122189651502606,9994895282712,45168557750588,24138030,12358671360,49852660207076060,21130031442051478,50165295249861112,254,169.78,17.35,262.3
31,7364992089829,147685917367323,12080444298396,54593493029254,48276060,24717342720,60254986943198230,25539053750825999,60632856857115596,307,172.89,17.16,261.9
32,7484943101064,150091225467768,12277194205536,55482637866864,0,0,61236338522077680,25954999251653784,61620362669120736,312,176.05,16.45,261.5
33,7844796134769,157307149769103,12867443926956,58150072379694,0,0,64180393258716030,27202835754137139,64582880105136156,327,178.19,15.43,261.3
34,7484943101064,150091225467768,12277194205536,55482637866864,0,0,61236338522077680,25954999251653784,61620362669120736,312,178.88,15.93,261.1
35,7508933303311,150572287087857,12316544186964,55660466834386,28965636,14830405632,61432608837853570,26038188351819341,61817863831521764,313,179.12,15.79,260.5
36,7317011685335,146723794127145,12001744335540,54237835094210,0,0,59862446311646450,25372675550494885,60237854532313540,305,179.16,15.77,242.5
37,7676864719040,153939718428480,12591994056960,56905269607040,0,0,62806501048284800,26620512052978240,63200371968328960,320,177.66,15.98,243.0
38,6789227235901,136140438485187,11136044744124,50325597808726,0,0,55544499364576870,23542515346852631,55892828959490924,283,169.92,17.38,243.6
39,7844796134769,157307149769103,12867443926956,58150072379694,14482818,7415202816,64180393258716030,27202835754137139,64582880105136156,327,168.85,17.4,248.8
40,7029129258371,140951054686077,11529544558404,52103887483946,38620848,19773874176,57507202522335770,24374406348508201,57867840583501204,293,169.52,17.28,248.6
41,7101099865112,142394239546344,11647594502688,52637374386512,0,0,58096013469663440,24623973649004872,58460344070704288,296,169.89,17.21,248.6
42,6261442786467,125557082843229,10270345152708,46413360523242,0,0,51226552417507290,21712355143210377,51547803386668308,261,168.93,17.15,258.4
43,7580903910052,152015471948124,12434594131248,56193953736952,0,0,62021419785181240,26287755652316012,62410367318724848,316,170.39,17.19,242.8
44,7388982292076,148166978987412,12119794279824,54771321996776,0,0,60451257258974120,25622242850991556,60830358019516624,308,170.42,17.32,248.0
45,6117501572985,122670713122695,10034245264140,45346386718110,53103666,27189076992,50048930522851950,21213220542217035,50362796412262140,255,170.56,17.27,248.0
46,7388982292076,148166978987412,12119794279824,54771321996776,0,0,60451257258974120,25622242850991556,60830358019516624,308,169.93,17.15,259.9
47,7221050876347,144799547646789,11844344409828,53526519224122,0,0,59077365048542890,25039919149832657,59447849882709428,301,169.92,17.1,259.3
48,7245041078594,145280609266878,11883694391256,53704348191644,0,0,59273635364318780,25123108249998214,59645351045110456,302,172.58,16.53,245.6
