,Unnamed: 0,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,0,878,2126,0,0,0,0,372188,78380,308614,176.45,16.44,251.0
1,1,992,2350,0,0,0,0,351954,79392,352038,176.59,16.33,251.0
2,2,48173968,553674084,25284332,124290330,296,151552,107122588228,36393088368,108764666622,176.95,16.48,261.4
3,3,37915258,427590678,19727786,96246512,0,0,82734605304,28122256200,84045512414,177.4,16.51,260.7
4,4,38268398,407129886,19753044,93894320,56,28672,80915501474,27328650288,81979099030,176.42,16.61,248.3
5,5,37220224,396240824,18820544,89311468,3064,1568768,76819890908,26225606020,77933606182,176.94,16.58,253.8
6,6,40414546,445948568,21251476,103418792,0,0,88034005272,29606896048,89333069654,177.29,16.55,253.8
7,7,57050322,867283514,29364740,174258938,0,0,167463966212,64384400090,169676442398,176.62,16.61,263.6
8,8,53392748,858939476,26844494,162952664,0,0,161532955620,62633236398,163961578026,177.67,16.5,257.6
9,9,65807150,1006517196,34228504,204687608,0,0,195559887924,75324649762,197951115270,176.68,16.69,257.5
10,10,47511506,776249526,24955830,155063832,4856,2486272,149150215494,57997927612,151188260900,176.73,16.54,257.5
11,11,46524588,775078968,23977378,144161520,0,0,145341741054,55747730546,147254500452,177.2,16.54,257.5
12,12,61962760,959070106,32525796,198289554,0,0,187794243860,72309887242,190190933552,176.93,16.57,257.5
13,13,57729992,861995944,29828794,178753126,0,0,168247311382,64722662912,170416264420,177.06,16.63,257.5
14,14,54349632,745781988,27199378,155281346,64,32768,148390145630,56960988748,149466862816,176.38,16.8,257.6
15,15,55505246,729839834,27662530,153286222,104,53248,142801120908,54769657926,145000098586,177.05,16.76,257.7
16,16,56244580,844078504,28264504,170007410,672,344064,162088440676,62314251196,164207348680,177.23,16.68,257.7
17,17,63256376,847447516,31792282,178926668,0,0,167864184600,64612325140,169723263878,176.97,16.78,257.8
18,18,75458556,1015817644,37486278,212182406,0,0,200479082830,76588535392,202892895166,177.13,16.76,257.9
19,19,58290086,844777770,28652714,165096244,0,0,160766734670,62201885498,162859226760,177.13,16.7,258.1
20,20,54308356,757062738,27220802,155087586,13296,6807552,148018732342,56429035978,149859959790,177.67,16.78,258.2
21,21,56164666,782541704,27740270,160557778,0,0,151140161552,58215598190,152965236742,176.77,16.76,258.2
22,22,56397720,799495086,27864050,160138776,0,0,154458335554,59225922776,156354463018,177.46,16.74,258.3
23,23,75207440,1060347386,36075920,210250906,0,0,202798710832,77994126202,205688903428,177.21,16.78,258.3
24,24,54163732,738606136,26896200,152631192,64,32768,144741025582,55566327504,146480839100,177.3,16.78,258.5
25,25,56514100,834510596,28725480,166074592,144,73728,160659703922,61699815274,162757360452,177.53,16.61,258.6
26,26,50007500,695016624,24600914,143171122,0,0,135829656336,52031435204,137429364202,177.02,16.66,258.7
27,27,55506822,788331150,27605456,161966536,0,0,153244167442,58924907100,154997217840,177.3,16.69,258.7
28,28,66365912,1030146374,33881426,203721916,0,0,196983018324,75632619354,199814644576,177.66,16.55,258.8
29,29,53996832,743566958,26644606,150787870,0,0,144803160450,55462631106,146602542362,177.34,16.76,258.9
30,30,68051466,1025537644,34038026,201381640,12928,6619136,195890292136,75254985842,198404889540,177.64,16.64,259.0
31,31,32999074,572537936,17131172,108990942,0,0,106821740930,40915092978,108326732368,178.11,16.54,259.2
32,32,79423916,1094908598,39228900,225992070,0,0,215013381398,82513918660,217392794720,177.43,16.82,259.3
33,33,53412278,731703596,26723208,150372058,0,0,142796597350,54616109754,144771524808,177.57,16.73,259.5
34,34,58837896,841070214,29837884,174623570,64,32768,164328142488,62719693398,166308596312,177.83,16.67,259.5
35,35,59322342,881940636,30576618,181518000,168,86016,171535189720,65688476684,173453386956,177.65,16.6,259.6
36,36,54777372,781563188,27607434,162986746,0,0,152800701032,58408039910,154634538776,177.89,16.7,259.7
37,37,63848232,978509500,32672596,198248098,0,0,188470777900,72449543910,190784889274,177.4,16.57,259.8
38,38,53853804,798306574,27566174,163648288,0,0,155021439310,59425331754,156856062110,177.94,16.69,259.8
39,39,54844228,796573974,27434292,160711752,0,0,154106022238,58955015790,155977200504,177.91,16.65,259.8
40,40,62378666,861066712,31101264,179655686,10072,5156864,169501820320,65080867260,171571701664,177.44,16.74,259.9
41,41,52904714,736143316,25817372,151956438,0,0,143201052474,54918710544,145009606520,177.58,16.69,260.0
42,42,72037540,1013369360,36347510,209314860,0,0,198299545208,75835586162,200768255540,177.75,16.77,260.0
43,43,56579638,762029490,27961136,158584056,0,0,149271756192,57486468748,150962181396,177.32,16.73,260.2
44,44,62343594,904706990,31200660,184840890,64,32768,174316064590,66767486996,176378286588,176.32,16.69,260.2
45,45,57959940,775695138,28502154,161326442,0,0,152230641082,57974123958,154017514018,177.8,16.79,259.9
46,46,60434022,763392268,29701190,160185106,0,0,151242032336,57780803404,153024981544,177.64,16.87,260.1
47,47,74811020,930491328,35915154,194322930,0,0,183910210732,70691275470,185950490958,177.53,16.97,260.2
48,48,54426514,765223242,26835918,156509814,0,0,149320949446,57512686024,150886355834,177.31,16.72,260.3
49,49,48912980,791174080,24597358,155186632,0,0,149630665856,57766088734,151816382674,177.84,16.58,260.3
50,50,54393798,802535354,27303018,165292152,0,0,155479410600,59901517912,157272098668,177.81,16.65,260.3
51,51,54293428,784488484,27706408,162100338,13344,6832128,153344743404,58829057692,155120273136,177.42,16.69,260.3
52,52,69114818,1003981342,35313786,207902202,0,0,196412807670,75161021528,198680351680,177.57,16.67,260.4
53,53,52714884,791706224,26495414,160447234,0,0,152321844138,58960951688,154210154260,177.46,16.63,260.4
54,54,58133518,810213408,29071390,167211240,72,36864,157902932294,60434433250,159859359892,177.62,16.71,260.5
55,55,55993336,802605312,27580722,163776118,192,98304,154997863110,59491776322,156875524564,177.64,16.69,260.5
56,56,1070,1998,0,0,0,0,337090,78040,337088,177.49,16.77,260.5
57,57,1046,2276,0,0,0,0,377086,78956,377062,172.55,16.62,260.5
58,58,13570,26856,0,0,0,0,6241666,3690088,6369850,69.11,12.76,260.5
