,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,rss,pkg_pwr,ram_pwr,power
0,984,2290,0,0,0,0,346178,78460,346196,54578,132.16,15.85,192.2
1,994,2262,0,0,0,0,361808,84102,361790,54578,127.42,15.31,192.6
2,5896,298580,8870,60780,0,0,7215774094,16077311604,7234911704,54578,131.27,15.66,201.8
3,19390,642358,29406,126940,0,0,9578234538,21101812368,9582863962,54578,134.23,15.78,201.2
4,15434,397164,12366,77752,0,0,6880842660,15228091588,6879627244,54578,128.66,15.57,209.5
5,232,518,0,0,0,0,83570,13498,83536,54578,131.1,15.54,199.4
6,1728,3692,0,0,0,0,602618,144734,602738,54578,128.55,15.52,199.7
7,17416,390552,10618,68628,0,0,7677070118,16812913608,7677226530,112709,136.23,16.06,199.7
8,9664,314254,10222,75716,0,0,9150097194,18231701674,9162960012,112709,134.73,15.92,200.0
9,14328,392732,20818,78902,0,0,9620925346,21183905090,9620467624,112709,131.23,15.76,210.2
10,202,404,0,0,0,0,61084,11110,61088,112709,130.11,15.45,201.0
11,1776,4048,0,0,0,0,662162,157446,662216,112709,125.65,15.3,201.1
12,9872,314940,15110,67166,0,0,6954059016,15354703256,6952954494,112709,148.09,16.19,200.8
13,16896,437412,25010,114388,0,0,8360012470,18790114554,8385662908,112709,178.7,17.17,200.4
14,32370,725480,37704,165630,0,0,9073552938,20035047568,9086038148,112709,176.9,16.79,268.6
15,194,420,0,0,0,0,60952,11110,60950,276685,178.86,16.93,259.9
16,1652,3964,0,0,0,0,627408,146462,627486,276685,178.13,17.04,260.1
17,16984,485334,17652,97858,0,0,8685281692,19386139612,8704165734,362124,177.1,17.03,260.5
18,42780,640586,50524,133148,0,0,8769071918,18881723470,8778428456,362124,178.49,17.07,260.5
19,12010,295076,7172,67244,0,0,8805966670,20572630140,8812840104,362124,178.25,17.1,260.6
20,966,2356,0,0,0,0,357114,79650,357144,467365,176.26,17.03,260.9
21,974,2150,0,0,0,0,351096,84040,351164,467365,178.44,17.11,260.8
22,12676,386798,12832,61202,0,0,8781718740,18835360982,8795086754,562089,178.32,17.1,260.9
23,11074,178644,17678,54520,0,0,6687938746,11658775410,6686946088,562089,176.84,16.95,261.1
24,18114,411626,24712,97114,0,0,9693239768,21284467330,9722577282,562089,177.6,17.09,261.0
25,986,2190,0,0,112,57344,328082,77968,328210,669706,178.45,17.2,261.0
26,984,2300,0,0,16,8192,331926,78380,331890,669706,176.34,17.01,261.1
27,10226,348260,12646,76860,0,0,6627069246,14727599200,6620454328,751805,177.8,16.91,261.1
28,14410,466746,15560,79174,0,0,10071531954,22266840786,10080974618,751805,178.12,16.92,261.0
29,18768,387466,22826,75012,0,0,7781074310,17544192138,7777094306,751805,176.4,17.11,261.2
30,960,2016,0,0,48,24576,260800,78550,316480,836611,178.21,17.07,261.1
31,982,2158,0,0,32,16384,251574,78350,316710,836611,178.35,17.11,261.1
32,8126,271102,8938,51484,0,0,7135001098,15701200192,7151180940,920661,177.32,16.93,261.3
33,9394,502648,7486,107914,0,0,9511644368,21207625230,9520015730,920661,177.67,17.15,261.4
34,5780,408084,6830,58462,0,0,7002250190,15596721278,6998868906,920661,178.01,17.1,261.2
35,1772,4298,0,0,0,0,573132,145160,635996,1021763,176.56,16.93,261.5
36,994,2404,0,0,2272,1163264,273518,79488,331154,1021763,177.3,17.03,261.3
37,13056,473928,22714,87646,0,0,6222252400,13900178302,6244572766,1086621,178.46,17.14,261.2
38,32110,318322,20472,56978,0,0,10642944860,26863986440,10636981782,1086621,177.39,16.88,261.3
39,7036,37088,10172,18422,0,0,8110654306,21541364764,8112100818,1086621,177.91,16.97,261.4
40,4470,10548,0,0,0,0,298988,528420,1319740,1173020,178.51,17.07,261.3
41,820,4054,0,0,4240,2170880,300206,167710,300196,1173020,176.97,16.97,261.5
42,10796,50844,12226,19252,0,0,10172310576,26854001534,10174038890,1235920,177.65,17.04,261.5
43,14940,56182,10912,17140,0,0,8119623348,21012030652,8121244974,1235920,178.31,17.06,261.5
44,10028,51082,12780,21222,0,0,10181672268,27056285602,10182603680,1235920,177.66,16.81,261.5
45,3958,9652,0,0,0,0,249338,96584,249366,1235920,177.68,17.06,261.6
46,4440,6954,0,0,1600,819200,219044,96492,219098,1235920,178.55,16.98,261.5
47,12116,50074,10256,16634,0,0,8136834084,21001005494,8137622378,1253710,176.92,16.98,261.6
48,9734,262196,18640,81896,0,0,10031045184,24200038226,10050501798,1253710,177.9,17.01,261.7
49,5770,338242,8670,50092,0,0,7214781264,15795529154,7213044546,1253710,178.3,17.04,261.6
50,43719384,768129810,24973936,164373526,0,0,150672273708,58313016428,151228253280,1255009,177.24,16.97,261.6
51,54217778,924764494,29615544,191591508,8,4096,178362359094,69198549788,178860422240,1255009,177.04,17.01,261.7
52,67039848,1026979628,34331936,221298552,3920,2007040,208243213076,97783738560,208854445266,1255009,178.95,17.1,261.6
53,28046,554354,25318,97216,0,0,6023863778,13194123850,6033655190,1255009,176.87,17.06,261.8
54,18864,455048,21472,74736,0,0,8002989266,17904758382,8000778048,1255009,177.86,17.04,262.0
55,61010398,909360072,31368544,194577940,80,40960,176043270982,69146232074,176517534662,1255009,178.07,17.02,262.0
56,68676804,890950134,35205036,200286656,0,0,179373263608,69551124218,179815860710,1255009,177.9,17.15,262.1
57,15894,496706,20906,113142,0,0,7642864742,17105703614,7678649374,1256229,177.5,16.93,262.3
58,59564940,895685634,30509216,192918566,0,0,180388800514,84306622466,180853565302,1256229,178.6,17.15,262.2
59,4114,245746,5960,36372,0,0,8249722810,18242790846,8250818582,1256229,177.39,16.88,262.3
60,63568542,934415766,32500154,200708666,24,12288,182129936834,70532237326,182688163720,1256332,178.05,16.93,262.5
61,55979230,755527212,27594510,161984716,8,4096,147745959282,57662846468,148082646088,1256332,178.09,17.0,262.4
62,56674096,806612620,28621926,171276632,0,0,164396262078,77970347620,164823542732,1256551,178.23,17.05,262.5
63,6468,532820,14870,101284,0,0,9908269412,22089880234,9906038460,1256551,177.99,17.14,262.6
64,8182,389356,12976,86148,0,0,6574320828,14577567928,6577888416,1256551,178.07,17.19,262.7
65,63584822,893715524,32163268,195229992,168,86016,173694043344,67485659002,174166800308,54578,177.76,16.97,262.7
66,68337070,933876908,34140902,203829204,0,0,184340646872,71421009176,185014493416,54578,177.78,17.02,262.8
67,51297278,745981756,26083176,160161560,2288,1171456,151661902692,71527002998,152047454656,54581,177.7,17.14,262.7
68,13284,456082,15746,98988,0,0,9498033116,20698970554,9487575958,54581,177.78,17.02,262.8
69,11660,376044,10754,85412,0,0,8917490580,20081403112,8935813236,54581,177.64,17.03,262.8
70,48468844,665558974,24324476,146499218,288,147456,128627139364,49866310814,129495833524,54581,177.88,17.1,262.7
71,61701322,927244912,31489104,199655000,0,0,178646172018,69365598344,179190290258,54581,178.27,17.0,262.7
72,7646,324140,9936,57300,0,0,9663758240,21596000244,9657266916,110533,148.24,15.99,262.8
73,50390150,689550534,24751288,149849310,0,0,141110321834,66464690108,141466854390,110533,123.52,14.82,262.8
74,11126,432302,12064,100784,0,0,8867365570,17640315150,8860000688,110533,121.58,14.62,199.7
75,70794806,936766616,35109546,203174686,0,0,184930571128,71075823516,185428614996,110533,123.34,14.85,186.5
76,48983188,750620222,25134754,156765710,0,0,143831968168,55066481570,144183533776,110533,122.95,14.72,187.0
77,17180,504276,13032,98698,0,0,9744322630,21209727830,9751923786,110533,123.04,14.84,195.3
78,52966714,716208080,26410930,156420054,0,0,147594720206,68767933960,148047851082,110533,123.85,14.81,194.7
79,13086,461644,9480,94388,0,0,8310444714,18586227278,8335563718,110533,121.56,14.69,194.6
80,64111790,954745492,32539546,200063446,0,0,180955157980,70025655040,181542131036,293656,122.22,14.76,194.3
81,53620754,792790250,27962832,173854562,0,0,156842154798,60604643224,157282843416,293656,122.43,14.69,194.0
82,18920,689034,33288,167838,0,0,8088014946,17980892848,8102088582,405862,147.06,15.8,194.0
83,64558780,835668242,30945284,182930074,0,0,173521018512,84240947902,173882897118,405862,179.56,16.77,193.4
84,8666,314654,14484,52148,0,0,6618104978,14801418616,6620525092,405862,178.17,16.46,259.0
85,66055424,918242134,33180226,199577802,0,0,178408334134,68811443266,178970854298,497906,179.2,16.65,259.5
86,69850358,954132904,34478796,208351634,0,0,194768114578,93403692176,195263110516,497906,178.71,16.79,260.0
87,62421592,865696408,31510632,187583876,3992,2043904,179789312512,86177106338,180422573078,582418,178.55,16.7,260.5
88,52896646,727901860,26492158,160269402,0,0,149801730432,71307071928,150106948856,582418,178.07,16.81,260.9
89,9508,349418,8594,76742,0,0,9497885006,21266132088,9502113424,582418,179.47,16.8,261.2
90,71931098,912093838,34561234,198569840,0,0,178888385620,69138466264,179388901516,687820,178.06,16.85,261.5
91,67599048,873535416,33372406,190575588,0,0,179288385448,85603391922,179887294582,687820,178.1,16.89,261.8
92,51066428,707683924,25537890,153581030,0,0,144968028660,70263772912,145335529784,772186,179.5,16.74,261.9
93,73660320,969863840,36403016,214108028,0,0,199225731604,95902168304,199800529538,772186,178.4,16.78,262.2
94,7368,318916,13704,65806,0,0,7030535400,15743937104,7051694056,772186,178.29,16.72,262.5
95,68947116,898411072,33668858,195935880,0,0,176329984488,68983302968,176767442980,836986,179.29,16.87,262.5
96,53184724,780832948,26772874,168292140,0,0,157965747220,74452428184,158427050216,836986,178.47,16.79,262.6
97,64633342,881344696,31870934,190735926,0,0,181092066780,85834064050,181698878566,919400,178.71,16.82,262.8
98,61766296,904065616,30965008,191400372,0,0,181888372786,85474596934,182389172312,919400,177.87,16.86,262.9
99,14204,503362,14104,109086,0,0,8403431396,18625543258,8408174986,919400,178.73,16.88,263.0
100,55155902,760862680,27635168,164543010,0,0,148543078752,57384742886,148972105572,1038522,178.37,16.84,263.0
101,67127862,935701050,32639136,199711934,0,0,191222408254,91872338478,191738162400,1038522,178.76,16.73,263.1
102,58223368,735106530,28201292,163374820,0,0,150982243132,71812335286,151458222746,1094154,179.11,16.78,263.1
103,71593010,939941042,34649526,206013890,0,0,193178505942,91433163270,193490762732,1094154,177.99,16.77,263.2
104,8630,293352,9792,53764,0,0,9089357652,20464949520,9102619784,1094154,178.25,16.77,263.2
105,55253148,728034124,26823410,158117298,0,0,141902577846,54907021840,142264738058,1156280,178.64,16.63,263.1
106,65735180,919243470,33295250,203715628,0,0,189483580188,90032691888,190120782234,1156280,177.96,16.9,263.2
107,64165658,876711812,32048248,194574094,0,0,179490737576,85215975200,179976508252,1218650,178.42,16.87,263.1
108,30673108,398213776,14278854,83298434,0,0,85530325342,51592294650,85771873720,1218650,179.13,16.87,263.1
109,8266,39816,12274,16996,0,0,8395738002,22107180950,8410308868,1218650,178.24,16.88,263.2
110,1666,10374,342,0,0,0,534610,193336,534704,1250066,178.9,16.73,263.3
111,9464,39964,12314,17044,0,0,8116834294,21402801422,8118046722,1250066,178.98,16.84,263.2
112,31950,476462,33352,66628,0,0,10158733102,26739371810,10160994656,1251250,178.72,16.82,263.3
113,19392,54194,11958,16384,0,0,8131323694,21471877898,8134292524,1251250,178.69,16.72,263.4
114,9762,49084,13886,21038,0,0,10097722282,27032468058,10099368770,1251250,179.6,16.83,263.4
115,5348,8082,0,0,0,0,239830,506060,955052,1251250,178.07,16.69,263.5
116,11694,42010,10762,16690,0,0,8095786948,21234461562,8097806084,1251250,178.93,16.87,263.6
117,14502,53470,14848,22056,0,0,10089991028,26658543490,10091912462,1251593,178.96,16.98,263.5
118,22939480,350081476,12403148,81010632,0,0,78012069086,48833541464,78773890924,1251593,178.14,16.98,263.5
119,8284,321112,20666,100734,0,0,8819908768,19539915512,8841063780,1251593,178.21,16.82,263.6
120,56566350,866372784,29289770,183430832,0,0,168403291560,66220365030,168822304594,1254778,179.28,16.92,263.5
121,43855372,677753078,22943082,145463100,0,0,138000858442,65735074016,138422912416,1254778,178.08,16.82,263.6
122,59730292,917747862,32342258,199665858,0,0,188116004432,90021123064,188617846952,1254827,178.65,16.91,263.8
123,66824716,937142868,34461686,203805886,0,0,193785536784,92663741852,194313824482,1254827,179.18,16.94,263.8
124,19268,752856,21442,140838,0,0,8007856902,17874231208,8004409704,1254827,178.45,16.98,263.9
125,63771946,864683010,32994528,195039008,0,0,172499034148,66825779972,173103232184,1254908,178.59,16.95,264.1
