,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,thread-count,pkg_pwr,ram_pwr,power
0,1945000,11407296,1119222,3038988,0,0,106775921602,39767798550,106643569718,0,183.7,17.94,282.9
1,608518,5968902,322822,1242914,240,122880,85323861806,31566750748,85870120002,0,169.78,17.97,283.4
2,159454,5227490,42908,1434742,0,0,52398527842,19366838532,53066286902,0,166.49,18.26,283.9
3,205620,6904576,74740,1743724,0,0,45011608036,16812010014,47188014498,0,164.49,17.96,283.6
4,424092,18445572,43248,5060126,0,0,66766338044,26781018412,66686567560,0,170.92,18.26,262.1
5,372068,17702766,29474,5389676,0,0,44014106818,18611253112,44652116842,0,182.72,18.54,253.6
6,351664,17122812,46492,4622948,80,40960,52019243362,21582187146,53195062112,0,179.71,18.99,253.0
7,286542,13582046,106904,3500708,0,0,35646611430,14840911522,36512353322,0,180.88,18.64,252.5
8,292658,12652234,28834,3122238,0,0,51285917348,19749677836,52181901842,0,177.69,18.3,252.7
9,0,0,0,0,0,0,0,0,0,0,177.44,17.87,270.9
10,418226,4050760,50421248,215934100,0,0,81576981980,19183619516,81582125240,0,176.38,17.68,270.4
11,997620,49338316,101772,15311732,56,28672,78744471020,34432311184,80149803472,0,176.11,18.06,270.1
12,974324,40138362,97892,13372616,0,0,59422496294,26198499394,60272202262,0,176.5,17.81,263.6
13,3337820,93711020,1349960,30426456,8,4096,90916345640,41002083190,91862016940,0,181.19,19.81,263.4
14,4437942,75341938,2630576,24423456,0,0,80017647694,34171585378,80483118742,0,197.89,18.78,263.2
15,92600,242310,9012,28768,0,0,9330125764,18257193776,9327794080,0,190.99,18.65,262.9
16,10435956,84883192,7094880,28049728,280,143360,143423917364,57218115064,143631707130,0,189.02,18.39,262.7
17,17934148,114925632,13354040,35503626,0,0,150193022628,59922489252,150087238732,0,184.75,18.18,269.8
18,443086,4595394,288920,992030,40,20480,97148152978,34718655600,97309405166,0,171.84,17.38,289.3
19,688898,3085180,64946014,176465326,0,0,72559820786,16322312938,72512321994,0,171.02,18.02,281.5
20,427110,4220410,255240,853672,0,0,90506777604,31749582172,90755161306,0,166.72,18.17,281.1
21,970512,3602040,90529484,187588866,0,0,114344305074,17099092534,114420486214,0,166.97,18.33,273.1
22,326686,12637508,158484,4036888,0,0,44669835850,17811432224,45233568464,0,167.8,18.26,256.8
