,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
555,104194,5569552,17329,364198,44064,22560768,1258720605,1321879205,39.78,6.48,1309791264,133.4
556,224404,5697648,52565,515700,2232,1142784,1171984605,1176320449,39.87,7.04,1219782993,133.5
557,518111,7766786,133850,969970,0,0,2034410290,2215962724,39.88,7.06,2099928288,133.5
558,483964,7862560,121376,1123838,107736,55160832,2082274596,2305216896,39.93,7.04,2151814305,133.4
559,404175,6935688,82548,719201,0,0,1583073527,1662421948,39.9,7.02,1657697310,133.2
560,567549,9000315,139784,1261803,0,0,2632563222,2804900137,39.83,7.01,2663325867,96.2
561,378154,6401191,87534,919380,0,0,2086144851,2245055375,39.81,7.0,2115931912,96.0
562,411906,6621976,98762,995496,0,0,2096114168,2379947835,39.92,7.05,2151683587,104.0
563,551740,5798700,143438,1146829,117144,59977728,1987582277,2556714611,39.92,7.06,2015433388,124.7
564,396646,7735114,95195,1031542,0,0,1705212646,2039960857,39.92,7.09,1742301304,133.7
565,392487,6226021,118782,1025652,0,0,2108164920,2486112110,39.8,7.02,2129287640,133.7
566,416580,6816801,100610,950337,44952,23015424,2088091684,2317260777,39.81,7.04,2115547455,133.7
567,347668,6349995,86483,860897,0,0,2105293789,2252221805,39.83,7.03,2125259266,133.7
568,426353,6248716,93894,908786,77720,39792640,2014166046,2195243322,39.86,7.0,2055270151,133.6
569,354836,7478888,93303,732738,298480,152821760,1741629004,1808263916,39.87,7.03,1805360242,133.5
570,307885,5262589,56742,447018,0,0,1095164157,1075066935,39.96,7.06,1144121923,133.5
571,1025005,10258882,217268,848396,0,0,1900840010,2219370093,39.93,7.06,1968088727,133.5
572,648974,9262053,155677,931937,0,0,1728294397,1892356055,39.88,7.08,1799018733,133.4
573,1230086,8817133,194697,819501,25136,12869632,1657785200,1861527143,39.91,7.15,1784496463,133.5
574,2109793,11972475,287393,1027578,4592,2351104,2329194148,2705315783,39.97,7.19,2480975658,133.5
575,1232106,8150590,188946,803709,0,0,1786102616,1863548382,39.91,7.14,1803782234,133.5
576,1515935,9583017,207328,881687,0,0,1774592942,1957008466,39.82,7.16,1879585556,133.5
577,1834471,10391261,191941,929802,0,0,2399389376,3140619830,39.73,7.14,2561031816,133.4
578,1169352,5080915,120299,566589,23624,12095488,1775453838,2409839679,39.73,7.13,1797654271,133.4
579,2581075,8702381,348073,1050124,0,0,2318427739,2507919223,39.68,7.2,2362595792,133.4
580,1104525,9063321,198706,979126,0,0,2044677913,1986155199,39.71,7.03,2061812023,133.4
581,264834,7487086,69001,759391,0,0,1557443330,1541968219,39.7,6.97,1605516446,133.4
582,259983,7767611,71135,802514,0,0,1634482402,1570601782,39.65,6.98,1646928044,133.3
583,341519,10242262,113901,1043697,71000,36352000,2234493712,2193926878,39.7,6.96,2270386017,133.3
584,235893,8230966,58532,719031,0,0,1471850420,1398619351,39.84,7.01,1501689866,133.4
585,392088,8274013,87695,936779,0,0,1994283394,2051958849,39.89,7.02,2025465453,133.4
586,294650,10343123,95246,1100733,38024,19468288,2269936657,2239412012,39.75,7.01,2280479417,133.4
587,386113,9166505,89197,983200,0,0,2128922689,2163530412,39.73,7.01,2160765038,133.4
588,226937,5957812,56443,628224,81136,41541632,1372024168,1362332147,39.71,6.97,1371016522,133.4
589,301805,9661835,44372,733014,0,0,1426938175,1260946616,39.75,6.98,1476317682,133.6
590,493545,11046866,115145,1152339,575680,294748160,2086324402,2045095545,39.93,7.09,2155444797,125.7
591,563517,10407881,191817,1035562,1175208,601706496,1628157986,1592545218,39.84,7.08,1680300250,95.8
