,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
436,380766,4440818,12611,269136,0,0,487828434,364153662,41.54,9.41,525168949,140.7
437,161348,4431510,2755,273787,944,483328,458763012,355426300,29.33,5.3,503623184,140.6
438,10178,4701487,352,309260,0,0,517600407,346723727,25.79,5.21,565247902,140.6
439,92692,5223831,17372,313476,2232,1142784,601116268,467871621,31.75,5.78,698527900,140.6
440,159772,5204580,13187,404181,0,0,642591176,490924379,32.13,5.93,684458662,140.6
441,203135,3427324,11040,216772,112,57344,353297398,270915835,41.18,8.39,413558441,140.7
442,382663,5951218,15294,450301,1456,745472,693888333,497627906,43.02,10.14,716064267,140.6
443,269194,3420297,11848,246816,0,0,363260416,265400824,43.55,10.76,398118937,140.1
444,698163,4776932,13323,249489,12144,6217728,567955574,453243544,43.06,10.21,633011239,108.4
445,523867,4012592,29727,280509,168,86016,435227496,345791191,42.82,9.88,512513634,100.8
446,226680,4178681,23219,272812,0,0,409939275,290636093,43.09,10.17,439993026,113.9
447,285998,6257602,27533,406514,0,0,619187645,451054916,43.19,10.29,677857604,113.9
448,262782,3902607,11441,272349,0,0,413613694,289611950,43.47,10.54,443227660,135.2
449,416137,5221032,14544,371358,552,282624,557131104,417830129,43.16,10.24,631469963,135.7
450,345515,3813685,23168,218165,952,487424,376986726,293398003,43.27,10.23,446698199,141.2
451,145823,5093150,15042,326028,0,0,577339583,392854099,28.52,5.51,589106863,141.1
452,14622,3421750,2079,233170,112,57344,386738153,260265977,27.27,5.24,415747948,140.9
453,6572,5847604,1249,391095,0,0,663798812,433788370,26.68,5.12,699456798,140.8
454,175692,5274828,22020,346103,832,425984,574391493,444214417,29.02,5.57,663978823,140.8
455,91959,3037398,6666,198542,112,57344,347272135,231746422,39.32,7.5,367526482,140.8
456,346507,4832884,12502,303804,0,0,534433525,365438777,42.95,10.06,553603038,140.8
457,337950,4617568,13286,285682,168,86016,488794705,342904891,43.49,10.65,526739462,140.7
458,426109,4773219,9143,324243,0,0,484952569,341835717,43.5,10.76,528846395,107.6
459,436400,3856400,36698,234067,888,454656,426764074,345475164,43.09,10.27,455058733,107.2
460,608435,5203635,12226,323928,784,401408,566378840,459908641,42.85,10.0,652639766,106.6
461,397193,4767963,10429,318356,0,0,490020772,361088574,43.51,10.71,544964640,106.9
462,400448,3713971,10600,262023,0,0,440817767,322514974,43.56,10.78,462449501,131.2
463,208360,2709565,13416,171338,0,0,293187602,212188968,43.09,10.19,313556794,140.0
464,336847,5327628,19239,346514,496,253952,570056047,395353882,43.03,10.2,616592659,140.1
465,195697,3168951,7420,192851,41752,21377024,365405560,262069425,38.92,6.59,376615993,140.3
466,154753,7147519,13883,528546,0,0,741110845,569032798,39.04,6.45,804513712,140.3
467,105674,5273238,5361,403743,280,143360,621583649,445001900,28.63,5.34,655073672,140.3
468,17433,3929114,539,250229,0,0,452899975,343096205,26.68,5.15,516297340,140.4
469,7392,4349784,363,289895,2456,1257472,492516335,320534943,25.69,5.17,538660661,140.6
470,17910,3272041,10258,224438,0,0,433182399,298847414,26.96,5.27,464558538,140.5
471,165036,4736043,10099,285013,0,0,525858283,407031346,29.21,5.59,636446830,140.5
472,34091,6620020,3210,459543,0,0,706317621,503198960,29.39,5.4,756836731,129.6
473,35128,4358104,2560,285706,0,0,529951657,407275042,25.77,5.22,585159605,129.5
474,9305,3831308,409,210210,776,397312,440230310,289785817,25.65,5.17,482677270,108.0
475,5925,3125931,1365,210621,0,0,398055283,263248074,26.85,5.16,429457105,107.3
476,140814,6982762,13912,460274,56,28672,759049783,579090775,31.85,5.84,839232189,101.8
477,94204,4390176,15469,280685,0,0,443378908,296188677,39.98,7.45,488446716,102.0
478,382524,4996044,6150,300307,0,0,505717129,367164412,40.06,7.56,568326491,108.0
479,220095,4848410,11772,343898,888,454656,501983970,349733433,43.39,10.62,534164132,108.1
480,359829,3726746,14630,257175,896,458752,390015138,286455019,42.86,10.03,447646197,102.1
481,168785,4272951,15806,257416,0,0,385614502,328815727,43.34,10.51,471962699,101.9
482,403385,4941575,6935,287832,0,0,517556105,375059454,43.13,10.31,566513062,102.1
483,373729,5737714,10276,383011,0,0,592630834,407792858,43.26,10.49,620659714,113.7
484,268751,4620117,13764,311069,272,139264,459787115,325212840,42.76,9.87,495053549,132.9
485,227163,4216404,10891,242350,0,0,434210133,325813245,43.48,10.72,459986785,132.9
486,334455,3962799,16803,203067,0,0,451550693,324566548,43.2,10.42,455723904,140.9
487,352509,5923359,13007,381087,0,0,602324865,424033294,42.97,10.22,628851146,140.8
488,236687,3592300,13594,236141,0,0,390592712,278807769,43.25,10.44,408380374,140.7
489,336959,5708318,17192,400815,328,167936,609020111,420276433,43.03,10.2,632606615,140.7
490,232172,4444047,16769,292280,112,57344,501188180,334198923,42.92,10.07,497928337,140.7
491,385919,5075163,12212,323491,56,28672,564822187,405619183,43.33,10.58,587759257,140.6
492,194837,4199706,17363,252897,56,28672,399419732,319056022,42.72,9.87,473206212,140.7
493,210315,4677531,15618,315046,0,0,499776936,345603603,43.33,10.51,518406969,140.6
494,217827,4444809,29162,313667,440,225280,535191701,369208893,42.99,10.12,538132640,140.6
495,250056,4011380,5491,276208,0,0,429676076,297513395,43.48,10.65,451167909,140.6
496,385981,5281182,14300,349742,42192,21602304,623208555,412406179,42.75,9.95,612791350,140.5
497,276440,4669739,5796,306981,0,0,482713580,347602248,37.47,7.57,514746071,140.4
498,130962,5009728,1585,328399,56,28672,521376946,362407645,27.42,5.37,560724080,140.5
499,9659,4737210,272,296443,944,483328,535115055,342487005,27.25,5.22,564847171,140.4
500,13121,4046493,445,264611,280,143360,478730668,329807012,29.62,5.4,530284749,140.4
501,137941,5981487,7823,366227,0,0,641244761,491732994,32.0,6.24,705912829,140.4
502,251001,4928101,16862,314233,0,0,509969634,381595188,40.07,7.52,573912160,140.5
503,192267,3490902,7416,222331,0,0,389082048,278558258,41.5,8.75,408522854,140.4
504,366926,4784674,24157,252133,1056,540672,479591148,350980916,43.19,10.4,538575461,129.0
505,337823,4565419,12973,274948,0,0,462760962,352283002,43.12,10.32,514270000,105.2
506,423880,4653730,40409,316375,0,0,485328948,389787684,43.1,10.31,551617386,105.0
507,385711,4218342,25507,272326,0,0,537646267,375093227,42.98,10.14,560429146,105.5
508,231211,4236458,12802,291932,0,0,436036738,309231223,43.04,10.25,459647379,114.3
509,377202,6329525,20687,427102,272,139264,656558606,470751070,43.17,10.43,697225052,133.2
